frame,L_pixels,strain,radius_norm,pressure_Pa,stress_Pa,force_N
108,102.674385,2.1883996,3.1883996,1594.1998,8.471576e+06,50914.105
109,102.904175,2.1955352,3.1955352,1597.7676,8.509537e+06,51256.707
110,103.13539,2.2027154,3.2027154,1601.3577,8.547821e+06,51602.996
111,103.2438,2.2060819,3.2060819,1603.0409,8.5658e+06,51765.89
112,103.526794,2.2148697,3.2148697,1607.4348,8.612822e+06,52192.73
113,103.78031,2.2227423,3.2227423,1611.3712,8.655057e+06,52577.1
114,103.835236,2.224448,3.224448,1612.224,8.66422e+06,52660.62
115,103.87894,2.225805,3.225805,1612.9025,8.671514e+06,52727.137
116,104.199135,2.2357483,3.2357483,1617.8741,8.725056e+06,53216.227
117,104.296036,2.2387574,3.2387574,1619.3787,8.74129e+06,53364.832
118,104.3726,2.241135,3.241135,1620.5674,8.754129e+06,53482.434
119,104.81942,2.2550104,3.2550104,1627.5051,8.829243e+06,54172.27
120,105.24308,2.2681665,3.2681665,1634.0833,8.90076e+06,54831.793
121,105.496124,2.2760243,3.2760243,1638.0122,8.943613e+06,55228.246
122,105.76859,2.2844856,3.2844856,1642.2428,8.989871e+06,55657.277
123,106.00996,2.2919807,3.2919807,1645.9904,9.030947e+06,56039.176
124,106.22783,2.2987463,3.2987463,1649.3732,9.068106e+06,56385.395
125,106.54943,2.3087332,3.3087332,1654.3666,9.123095e+06,56899.07
126,106.7072,2.3136325,3.3136325,1656.8163,9.150133e+06,57152.2
127,107.09783,2.325763,3.325763,1662.8815,9.217249e+06,57782.156
128,107.24754,2.3304121,3.3304121,1665.206,9.243037e+06,58024.83
129,107.36418,2.3340342,3.3340342,1667.0171,9.263153e+06,58214.348
130,107.37672,2.3344233,3.3344233,1667.2117,9.265315e+06,58234.734
131,107.834305,2.348633,3.348633,1674.3165,9.344453e+06,58982.418
132,108.130486,2.3578305,3.3578305,1678.9153,9.395855e+06,59469.76
133,108.42902,2.3671012,3.3671012,1683.5505,9.447808e+06,59963.7
134,108.87159,2.3808444,3.3808444,1690.4221,9.52509e+06,60700.938
135,109.17176,2.3901658,3.3901658,1695.0829,9.577686e+06,61204.41
136,109.44361,2.3986077,3.3986077,1699.3038,9.625445e+06,61662.766
137,109.90901,2.41306,3.41306,1706.53,9.707482e+06,62452.76
138,110.518715,2.4319935,3.4319935,1715.9967,9.815482e+06,63497.887
139,110.75109,2.4392095,3.4392095,1719.6047,9.856801e+06,63899.254
140,111.08833,2.449682,3.449682,1724.841,9.916921e+06,64484.754
141,111.366684,2.4583259,3.4583259,1729.163,9.966681e+06,64970.715
142,111.7643,2.470673,3.470673,1735.3365,1.0037976e+07,65669.09
143,111.89362,2.4746892,3.4746892,1737.3446,1.006122e+07,65897.33
144,112.30399,2.4874327,3.4874327,1743.7163,1.0135155e+07,66625.02
145,112.68382,2.4992275,3.4992275,1749.6138,1.0203828e+07,67303.31
146,112.73399,2.5007856,3.5007856,1750.3928,1.0212916e+07,67393.26
147,112.86462,2.5048418,3.5048418,1752.4209,1.0236596e+07,67627.78
148,113.004456,2.5091844,3.5091844,1754.5922,1.0261979e+07,67879.47
149,113.2818,2.517797,3.517797,1758.8984,1.0312412e+07,68380.49
150,113.5515,2.526172,3.526172,1763.0859,1.0361573e+07,68870.04
151,113.7801,2.5332708,3.5332708,1766.6354,1.0403335e+07,69286.83
152,113.7695,2.5329418,3.5329418,1766.471,1.0401398e+07,69267.48
153,113.96137,2.5389001,3.5389001,1769.4501,1.0436512e+07,69618.52
154,113.996765,2.539999,3.539999,1769.9995,1.0442993e+07,69683.4
155,113.931885,2.5379844,3.5379844,1768.9922,1.043111e+07,69564.49
156,114.266014,2.5483603,3.5483603,1774.1802,1.0492384e+07,70178.33
157,114.44131,2.5538037,3.5538037,1776.9019,1.05246e+07,70501.8
158,114.73896,2.563047,3.563047,1781.5234,1.0579419e+07,71053.34
159,115.04881,2.5726688,3.5726688,1786.3344,1.0636634e+07,71630.53
160,115.161476,2.5761676,3.5761676,1788.0837,1.0657478e+07,71841.18
161,115.68119,2.5923064,3.5923064,1796.1532,1.0753887e+07,72818.21
162,115.640976,2.5910575,3.5910575,1795.5288,1.0746411e+07,72742.29
163,115.8662,2.5980518,3.5980518,1799.0259,1.0788313e+07,73168.16
164,115.9501,2.6006572,3.6006572,1800.3286,1.0803943e+07,73327.22
165,116.01797,2.6027646,3.6027646,1801.3823,1.0816594e+07,73456.05
166,116.16662,2.6073806,3.6073806,1803.6903,1.0844329e+07,73738.76
167,116.018486,2.6027806,3.6027806,1801.3903,1.0816689e+07,73457.02
168,116.21037,2.6087394,3.6087394,1804.3696,1.0852499e+07,73822.11
169,115.93038,2.6000447,3.6000447,1800.0223,1.0800268e+07,73289.805
