frame,point_id,x,y,u,v,displacement
75,3,304.71094,144.47362,46.710938,0.47361755,46.713337
76,0,161.72047,218.15826,-37.279526,64.158264,74.202736
76,1,240.59526,165.64096,12.595261,25.64096,28.567455
76,2,275.91104,266.90472,37.91104,98.904724,105.92163
76,3,305.41013,144.95102,47.410126,0.9510193,47.419662
77,0,161.9494,219.26088,-37.0506,65.26088,75.04485
77,1,241.4152,166.57393,13.415207,26.573929,29.76813
77,2,277.16678,268.81622,39.16678,100.81622,108.15705
77,3,305.75964,145.36902,47.759644,1.3690186,47.779263
78,0,161.5598,219.5035,-37.4402,65.503494,75.4485
78,1,241.26956,166.65099,13.269562,26.650986,29.771736
78,2,277.32874,269.2674,39.328735,101.267395,108.636246
78,3,305.82965,145.48584,47.82965,1.4858398,47.852726
79,0,160.2917,219.3317,-38.708298,65.331696,75.93789
79,1,240.19687,166.1241,12.196869,26.1241,28.831097
79,2,276.54596,268.91382,38.54596,100.91382,108.02495
79,3,305.5781,145.40034,47.578094,1.4003448,47.598698
80,0,159.85149,219.36789,-39.148514,65.36789,76.19427
80,1,239.85774,165.84451,11.857742,25.844513,28.434925
80,2,276.52295,268.86157,38.52295,100.86157,107.96793
80,3,305.43716,145.16208,47.437164,1.1620789,47.451397
81,0,159.34482,219.81985,-39.65518,65.819855,76.84261
81,1,239.72885,166.31728,11.728851,26.317276,28.812582
81,2,276.6907,269.87262,38.690704,101.87262,108.97248
81,3,305.23584,145.4212,47.23584,1.4212036,47.257214
82,0,158.72322,219.93825,-40.27678,65.93825,77.266235
82,1,239.54146,166.42183,11.541458,26.42183,28.83259
82,2,276.71408,270.46136,38.71408,102.461365,109.53133
82,3,304.89362,145.49965,46.893616,1.499649,46.91759
83,0,157.73428,219.60085,-41.265717,65.600845,77.50052
83,1,238.76071,165.75781,10.760712,25.757812,27.91519
83,2,276.24704,269.91833,38.24704,101.918335,108.85854
83,3,304.64264,145.30736,46.64264,1.3073578,46.660957
84,0,156.48906,218.86143,-42.51094,64.861435,77.551186
84,1,237.7323,164.82524,9.7323,24.825241,26.664776
84,2,275.5611,269.083,37.561096,101.08301,107.83604
84,3,304.39386,144.95772,46.39386,0.9577179,46.403744
85,0,156.04762,218.94339,-42.952377,64.94339,77.86238
85,1,237.66164,164.76035,9.661636,24.760345,26.5786
85,2,275.58737,269.20074,37.58737,101.200745,107.95555
85,3,304.292,144.78693,46.291992,0.78692627,46.29868
86,0,156.17075,219.6252,-42.829254,65.6252,78.36461
86,1,238.1335,165.31631,10.133499,25.316315,27.269096
86,2,276.48083,270.51965,38.480835,102.51965,109.50367
86,3,304.34738,145.16484,46.34738,1.1648407,46.36202
87,0,156.24248,219.73625,-42.757523,65.73625,78.418495
87,1,238.48898,165.4394,10.488983,25.439407,27.516945
87,2,277.21204,270.94293,39.212036,102.94293,110.15821
87,3,304.40814,145.12637,46.408142,1.1263733,46.42181
88,0,156.01602,219.26625,-42.98398,65.26625,78.149254
88,1,238.48744,164.65167,10.487442,24.651672,26.789762
88,2,277.52277,270.24634,39.522766,102.24634,109.61917
88,3,304.6382,144.70041,46.638214,0.70040894,46.64347
89,0,155.46643,218.68358,-43.53357,64.68358,77.96882
89,1,238.2212,163.7919,10.221207,23.7919,25.894548
89,2,277.42786,269.4486,39.427856,101.44861,108.84106
89,3,304.64658,144.15346,46.646576,0.15345764,46.646828
90,0,155.99121,218.94391,-43.00879,64.94391,77.89395
90,1,238.86128,163.79356,10.861282,23.793564,26.155327
90,2,278.68564,269.69104,40.68564,101.69104,109.52803
90,3,305.3167,144.04727,47.31671,0.04727173,47.316734
91,0,156.5944,219.64645,-42.405594,65.646454,78.15172
91,1,239.92796,164.48184,11.927963,24.481842,27.233011
91,2,280.17447,271.0458,42.17447,103.04581,111.34238
91,3,305.52838,144.22931,47.52838,0.22930908,47.528934
92,0,157.32442,219.50662,-41.675583,65.50662,77.640015
92,1,240.91243,164.21413,12.91243,24.214127,27.441843
92,2,281.71378,271.19632,43.713776,103.19632,112.07308
92,3,306.2099,143.80496,48.2099,-0.19503784,48.210293
93,0,157.71138,218.46165,-41.28862,64.461655,76.550995
93,1,241.56053,162.96666,13.560532,22.96666,26.671247
93,2,282.52332,269.91528,44.523315,101.91528,111.21623
93,3,306.7507,142.88554,48.7507,-1.1144562,48.763435
94,0,157.7998,217.59259,-41.200195,63.59259,75.772514
94,1,241.8662,161.68718,13.866196,21.68718,25.741117
94,2,283.19385,268.17892,45.193848,100.178925,109.90132
94,3,307.6139,142.42033,49.61389,-1.5796661,49.639034
95,0,158.03777,217.63766,-40.962234,63.637665,75.68129
95,1,242.18184,161.57045,14.181839,21.57045,25.814896
95,2,283.82785,267.88986,45.82785,99.88986,109.90076
95,3,307.97485,142.51434,49.974854,-1.4856567,49.996933
96,0,159.05933,218.83379,-39.940674,64.833786,76.14905
96,1,243.34045,162.80719,15.340454,22.80719,27.486313
96,2,285.4408,269.42194,47.440796,101.421936,111.96892
96,3,308.5089,143.32414,50.50891,-0.67585754,50.51343
97,0,159.47061,220.8149,-39.52939,66.814896,77.632484
97,1,244.10402,164.93637,16.10402,24.93637,29.684372
97,2,286.34402,272.35138,48.344025,104.35138,115.00589
97,3,308.64905,145.00783,50.649048,1.0078278,50.659073
98,0,159.47672,221.86488,-39.523285,67.86488,78.53491
98,1,244.2117,166.15633,16.2117,26.156326,30.77292
98,2,286.68356,273.70306,48.683563,105.703064,116.37537
98,3,308.59097,146.13806,50.590973,2.1380615,50.63613
99,0,159.19481,221.86682,-39.80519,67.86682,78.67883
99,1,243.92546,166.01338,15.925461,26.013382,30.501087
99,2,286.39618,272.94788,48.39618,104.947876,115.56923
99,3,308.98898,146.71812,50.988983,2.7181244,51.061382
100,0,159.87038,222.67526,-39.129623,68.67526,79.04062
100,1,244.56184,166.82672,16.561844,26.826721,31.527252
100,2,287.1756,273.5674,49.1756,105.56741,116.45908
100,3,309.6464,147.51904,51.646393,3.519043,51.76614
101,0,160.82596,224.65332,-38.17404,70.65332,80.306595
101,1,245.89655,168.85677,17.896545,28.856766,33.95584
101,2,288.73547,276.42612,50.735474,108.42612,119.709274
101,3,309.82654,149.05765,51.826538,5.0576477,52.072735
102,0,161.00455,225.72662,-37.995453,71.72662,81.16873
102,1,246.1745,170.21027,18.1745,30.210266,35.255817
102,2,289.33093,278.05548,51.330933,110.05548,121.43753
102,3,310.2892,150.51833,52.289215,6.518326,52.693935
103,0,161.02927,225.6322,-37.970734,71.6322,81.07373
103,1,246.24066,169.86044,18.240662,29.860443,34.990967
103,2,289.47803,277.13235,51.478027,109.132355,120.66424
103,3,310.85986,150.75732,52.859863,6.757324,53.29002
104,0,161.43456,225.84396,-37.565445,71.84396,81.072296
104,1,246.77927,170.16588,18.779266,30.165878,35.53366
104,2,290.1584,277.22757,52.158386,109.22757,121.04197
104,3,311.36847,151.13153,53.36847,7.131531,53.842846
105,0,161.5759,227.14468,-37.424103,73.144684,82.16269
105,1,247.30571,171.2229,19.30571,31.2229,36.7094
105,2,290.99112,278.56613,52.99112,110.56613,122.60884
