frame,L_pixels,strain,radius_norm,pressure_Pa,stress_Pa,force_N
139,138.79535,-0.16256042,0.8374396,418.7198,584420.9,922.5297
140,139.29929,-0.15951985,0.84048015,420.24008,588672.44,932.61475
141,139.56052,-0.15794368,0.84205633,421.02817,590882.4,937.87146
142,139.64473,-0.15743558,0.8425644,421.2822,591595.6,939.5702
143,139.67664,-0.15724307,0.8427569,421.37845,591866.0,940.2143
144,139.63966,-0.15746614,0.8425339,421.26694,591552.75,939.468
145,139.75002,-0.15680031,0.8431997,421.59982,592488.0,941.69696
146,139.38147,-0.15902399,0.840976,420.488,589367.2,934.26636
147,138.78001,-0.16265295,0.83734703,418.67352,584291.7,922.2239
148,138.17407,-0.16630897,0.833691,416.8455,579200.5,910.1966
149,137.22601,-0.17202921,0.8279708,413.9854,571279.7,891.5896
150,136.60352,-0.17578512,0.8242149,412.10745,566108.5,879.511
151,135.96434,-0.17964168,0.82035834,410.17917,560823.1,867.2228
152,135.68631,-0.1813192,0.81868076,409.3404,558531.8,861.91345
153,135.28397,-0.1837468,0.8162532,408.1266,555224.3,854.26874
154,134.85916,-0.18630992,0.81369007,406.84503,551742.9,846.2466
155,133.8033,-0.1926806,0.8073194,403.6597,543137.1,826.52515
156,133.14124,-0.19667524,0.80332476,401.66238,537775.56,814.3167
157,132.72392,-0.19919315,0.8008068,400.4034,534409.6,806.6835
158,132.26114,-0.20198542,0.7980146,399.0073,530689.4,798.2747
159,131.53296,-0.20637898,0.793621,396.81052,524861.94,785.1622
160,130.73749,-0.21117857,0.78882146,394.41074,518532.75,771.0029
161,130.22006,-0.21430051,0.7856995,392.84973,514436.38,761.88477
162,129.47537,-0.2187937,0.7812063,390.60315,508569.38,748.8884
163,128.97162,-0.22183317,0.77816683,389.0834,504619.62,740.1811
164,128.61682,-0.22397387,0.7760261,388.01306,501847.1,734.0893
165,128.50139,-0.22467035,0.77532965,387.66483,500946.7,732.1146
166,128.26196,-0.22611496,0.773885,386.9425,499081.66,728.02985
167,127.92725,-0.22813447,0.77186555,385.93277,496480.34,722.34534
168,127.52636,-0.23055331,0.7694467,384.72333,493373.44,715.5755
169,126.93474,-0.23412295,0.76587707,382.93854,488806.38,705.66266
170,126.177635,-0.23869102,0.76130897,380.65448,482992.72,693.11084
171,127.28072,-0.2320354,0.7679646,383.9823,491474.7,711.44855
172,126.01081,-0.23969758,0.7603024,380.1512,481716.44,690.3654
173,125.79176,-0.24101923,0.75898075,379.4904,480043.16,686.77136
174,125.59143,-0.24222796,0.757772,378.88602,478515.34,683.4954
175,125.04692,-0.24551333,0.7544867,377.24335,474375.12,674.644
176,124.00402,-0.2518058,0.7481942,374.0971,466495.44,657.9046
177,123.0969,-0.25727904,0.74272096,371.36047,459695.3,643.57166
178,122.485985,-0.26096508,0.73903495,369.5175,455143.88,634.03735
179,122.11724,-0.26318994,0.7368101,368.40503,452407.56,628.3282
180,121.58321,-0.26641205,0.7335879,366.79395,448459.34,620.1209
181,120.84137,-0.27088806,0.7291119,364.55597,443003.47,608.839
182,120.36894,-0.2737385,0.7262615,363.13074,439546.44,601.7262
183,119.9367,-0.2763465,0.7236535,361.82675,436395.28,595.2671
184,119.08035,-0.2815134,0.7184866,359.24332,430185.84,582.6073
185,118.04749,-0.28774527,0.7122547,356.12735,422755.62,567.5784
186,116.8503,-0.29496866,0.70503134,352.51566,414224.28,550.4845
187,115.5779,-0.30264586,0.69735414,348.67706,405252.3,532.6967
188,114.44488,-0.30948213,0.6905179,345.25894,397345.78,517.18353
189,113.43439,-0.31557906,0.68442094,342.21048,390360.0,503.6047
190,112.67006,-0.32019073,0.6798093,339.90463,385117.2,493.49316
191,111.92381,-0.3246933,0.67530674,337.65338,380032.66,483.7524
192,111.20047,-0.32905766,0.6709423,335.47116,375136.28,474.43362
193,110.5125,-0.33320865,0.6667914,333.3957,370508.94,465.68237
194,109.36089,-0.340157,0.659843,329.9215,362827.34,451.2755
195,108.21035,-0.34709895,0.65290105,326.45053,355233.12,437.1817
196,107.46675,-0.35158554,0.64841443,324.2072,350367.72,428.2308
197,106.55151,-0.35710776,0.64289224,321.4461,344425.34,417.3827
198,105.87128,-0.36121204,0.638788,319.39398,340041.72,409.43985
199,105.10431,-0.36583963,0.63416034,317.08017,335132.75,400.6057
200,104.41294,-0.3700111,0.6299889,314.99445,330738.34,392.75217
201,103.92219,-0.37297213,0.62702787,313.51395,327636.62,387.2402
202,103.25114,-0.37702098,0.622979,311.4895,323419.0,379.78702
203,101.93065,-0.38498834,0.6150117,307.50586,315199.5,365.40125
204,100.39472,-0.39425555,0.6057445,302.87225,305771.97,349.13092
205,99.09783,-0.4020805,0.5979195,298.95975,297923.12,335.77478
206,97.97933,-0.4088291,0.5911709,295.58545,291235.84,324.53314
207,96.93813,-0.4151113,0.5848887,292.44434,285078.97,314.2965
208,95.871284,-0.42154828,0.5784517,289.22586,278838.62,304.03333
209,94.70158,-0.42860585,0.57139415,285.69708,272076.06,293.04025
210,93.54096,-0.4356086,0.56439143,282.1957,265448.06,282.39767
211,92.531364,-0.44170013,0.5582999,279.14996,259748.98,273.35217
212,91.52809,-0.4477535,0.5522465,276.12326,254146.84,264.55673
213,90.31818,-0.4550537,0.5449463,272.47314,247472.05,254.20322
214,88.87798,-0.46374327,0.53625673,268.12836,239642.7,242.2357
215,87.44797,-0.47237146,0.52762854,263.81427,231993.22,230.73035
216,86.529236,-0.47791472,0.52208525,261.04263,227144.17,223.5343
